Distributing Body,Good Cause,Recipient Name,Project Name,Grant Date,Grant Amount,Programme Name,County,Postal Town,Local Authority,Electoral Ward,Region,UK Constituency,EU Constituency
New Opportunities Fund,"Health, Education, Environment",Bath and North East Somerset Council,"The project will create 9 new after school childcare places within 2 existing nurseries. The places will cater for children aged 5 -7 years. The places will serve Saltford Primary School, Freshford School, Widecombe School,  Bothwick School, Fosseway Scho",20/10/1999,4644,Out of School Hours Childcare,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Sport England,Sport,Chew Magna Parish Council,The Parish Council will use our award to construct a play wall and lay a basketball playing surface for communal use by local residents.,07/10/1999,4873,AwardsforAll,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Sport England,Sport,Avon Schools Table Tennis Association,This award will be used to provide training and practice for prospective junior table tennis umpires.,07/10/1999,1420,AwardsforAll,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Millennium Commission,Millennium,Paulton Millennium Committee,"Schools, churches and people of all ages will be involved in a pageant celebrating local history from 43 AD to the present.  The award will pay for equipment hire, materials and other costs.",07/10/1999,3950,Awards for All,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Heritage Lottery Fund,Heritage,"Felton, Regil & Winford Agenda 21 Group",The group has carried out a parish audit involving much of the community. The award will pay for publishing the result.,07/10/1999,855,,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Community Fund,Charitable Expenditure,Twerton Village Hall,"The organisation has recently re-established a community hall for this city area. The grant, over three years, will meet the costs of a community development worker who will co-ordinate and develop the facilities and services in the hall to meet the needs",07/10/1999,81123,Community Involvement,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,March Hare Music,Forest Music Out Reach Project,11/06/1997,5000,Arts4Everyone-Express,,Bath,Bath and North East Somerset,,South West,Bath,South West
Community Fund,Charitable Expenditure,Lifeskills Learning for Living,"This group which provides opportunities for children, young people, elderly people and people with learning difficulties to learn about safety in a practical way has been awarded a contribution to fitting out its new centre.",07/10/1999,5000,Awards for All,,Bath,Bath and North East Somerset,,South West,Kingswood,South West
Arts Council England,Arts,Bath Minerva Choir,The Choir Will Work With A Professional Orchestra On A Performance Of Elgar'S 'Dream Of Gerontius'. The Award Will Contribute To Performance Expenses.,07/10/1999,5000,AwardsforAll,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,British Assoc for Early Childhood Ed (Bristol),Our Award Will Help With Artist'S Fees And Materials For A Discovery Workshop In Association With The '100 Languages Of Children' Exhibition Planned For May 2000.,07/10/1999,5000,AwardsforAll,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Samba Sulis,"Local People, Schools And Artists Will Collaborate To Produce A Community Performance Celebrating Their History. The Award Will Help With Production Costs.",07/10/1999,4888,AwardsforAll,,Bath,Bath and North East Somerset,,South West,Bath,South West
New Opportunities Fund,"Health, Education, Environment",Bath & North East Somerset,"The award has provided training to ensure that teachers and school librarians are equipped with the necessary knowledge, understanding and skills to make sound decisions about when and how to use ICT effectively in teaching.",01/09/1999,511099,,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Sport England,Sport,Midsomer Norton Short Mat Bowls Club,Midsomer Norton Short Mat Bowls Club wish to continue to attract new people to the support by providing better facilities and more opportunities for playing.,26/08/1999,1100,AwardsforAll,,Radstock,Bath and North East Somerset,,South West,North East Somerset,South West
Sport England,Sport,Somer Athletics Club,This award will provide weight training equipment and a storage rack to enable the club to improve all round athletic ability and include a wider range of young people  training them to a higher standard.,26/08/1999,1607,AwardsforAll,,Radstock,Bath and North East Somerset,,South West,North East Somerset,South West
Sport England,Sport,Writhlington School,The school will use their award to purchase cricket net equipment.  They wish to make the school's practice facility suitable for seniors so that it can be made available to the local club.,26/08/1999,675,AwardsforAll,,Radstock,Bath and North East Somerset,,South West,North East Somerset,South West
Millennium Commission,Millennium,Chew Magna Society,"This group plans a celebration in music, dance and drama. There will be a video display of past and present images of village life with performances on the night and a photographic exhibition detailing all current community activities and groups, all hall",26/08/1999,4449,Awards for All,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Heritage Lottery Fund,Heritage,Saltford Brass Mill Project,"This group cares for the Brass Mill's building, collects material relating to the working life of the mill and prepares exhibitions. Volunteers have done all of the restoration work to date. The award will pay for installing a new sluicegate which is too",26/08/1999,3455,,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Community Fund,Charitable Expenditure,Envolve Partnerships For Sustainability,"This environmental organisation will establish a range of sustainable community projects. The grant, over three years, will pay for three full-time workers, equipment and general expenses.",05/08/1999,370828,Community Involvement,,Bath,Bath and North East Somerset,,South West,Bath,South West
New Opportunities Fund,"Health, Education, Environment",MOOSE Club Monty's Out of School Experience,"The grant will be used to provide 40 childcare places available after school and during holidays.  The schools served by the project will be the New Small School, St. Saviour's Junior School and St. Mark's Comprehensive.",12/07/1999,18897,Out of School Hours Childcare,,Bath,Bath and North East Somerset,,South West,Bath,South West
New Opportunities Fund,"Health, Education, Environment",Bath Area Play Project,"The grant will be used to provide a dedicated holiday playcare club for 24 children with disabilities in Bath. It will complement the existing out of school scheme The schools served will be Lime Grove Special School, Margaret Coates Unit at Fosseway Juni",12/07/1999,30181,Out of School Hours Childcare,,Bath,Bath and North East Somerset,,South West,Bath,South West
Community Fund,Charitable Expenditure,Bath City Farm Limited,This group provides a local environmental and educational facility. The grant will pay for materials and training to allow them to build a barn in which to hold activities.,17/06/1999,5000,Small Grants,,Bath,Bath and North East Somerset,,South West,Bath,South West
Community Fund,Charitable Expenditure,Jack & Jill Playgroup,The grant will pay for this pre-school to buy new play equipment to create a new outdoor playground.,17/06/1999,3880,Small Grants,,Bath,Bath and North East Somerset,,South West,North East Somerset,South West
Community Fund,Charitable Expenditure,Busy Bees Pre-school (Bath),The grant will pay for the wages of the leader and assistant at this urban pre-school.,17/06/1999,2940,Small Grants,,Bath,Bath and North East Somerset,,South West,Bath,South West
Community Fund,Charitable Expenditure,National Osteoporosis Society,"A study of a treatment method for children who suffer from loss of skeletal tissue, a condition known osteoporosis. The grant, over three years, will pay for office equipment, Salaries, fees, advisory group support, supervision and publicity and dissemina",19/05/1999,177928,Health and social research,,Radstock,Bath and North East Somerset,,South West,North East Somerset,South West
Community Fund,Charitable Expenditure,First Steps Nursery (Bath),"This full time community nursery is will develop its services to include family support work. The grant, over three years, will fund the salaries of the Nursery Manager and two deputy managers.",27/04/1999,127242,Community Involvement,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Bath Spa Project,Stage 2: series of public art/water feature commissions,27/04/1999,87910,CapitalProgrammeOne,,Bath,Bath and North East Somerset,,South West,Bath,South West
